Name,Latitude,Longitude
American Chestnut,39.35971717,-75.86847795
American Beech,39.360365,-75.871863
Swamp White Oak,39.360371,-75.871907
Black Cherry,39.360143,-75.87201
Tulip Poplar,39.360113,-75.872028
Tree Stump,39.360039,-75.872337
Beech Tree,39.359981,-75.872498
Sassafras,39.360223,-75.872373
Larch,39.360122,-75.872329
Bald Cyprus,39.359592,-75.872672
American Beech,39.359821,-75.872254
Black Gum,39.35978,-75.872171
Paperbark Maple,39.35973,-75.872106
Flowering Dogwood,39.359714,-75.872056
Black Walnut,39.359691,-75.871975
Tulip Poplar,39.359672,-75.871882
Pine,39.359705,-75.871821
Southern Magnolia,39.359701,-75.87177
Dawn Redwood,39.359673,-75.870596
Yellowwood,39.360176,-75.870747
Dawn Redwood,39.360036,-75.871402
Black Walnut,39.3601122,-75.8718972
